drug_name
Abacavir
Acetaminophen
Acyclovir
Adalimumab
Albuterol
Alendronate
Allopurinol
Alprazolam
Amiodarone
Amitriptyline
Amlodipine
Amoxicillin
Amphetamine
Anastrozole
Apixaban
Aripiprazole
Aspirin
Atenolol
Atomoxetine
Atorvastatin
Azithromycin
Baclofen
Benazepril
Benzonatate
Benztropine
Bimatoprost
Bisoprolol
Budesonide
Bupropion
Buspirone
Cabergoline
Calcium Carbonate
Canagliflozin
Carbamazepine
Carbidopa
Carvedilol
Cefdinir
Cephalexin
Cetirizine
Cholecalciferol
Ciprofloxacin
Citalopram
Clindamycin
Clonazepam
Clonidine
Clopidogrel
Cyclobenzaprine
Dabigatran
Dapagliflozin
Desvenlafaxine
Dexamethasone
Dexmethylphenidate
Dextroamphetamine
Diazepam
Diclofenac
Digoxin
Diltiazem
Diphenoxylate
Divalproex
Donepezil
Doxycycline
Dulaglutide
Duloxetine
Dutasteride
Enalapril
Empagliflozin
Escitalopram
Esomeprazole
Estradiol
Eszopiclone
Ethinyl Estradiol
Exenatide
Ezetimibe
Famotidine
Febuxostat
Felodipine
Fenofibrate
Fentanyl
Ferrous Sulfate
Finasteride
Flecainide
Fluconazole
Fluoxetine
Fluticasone
Folic Acid
Furosemide
Gabapentin
Gemfibrozil
Glimepiride
Glipizide
Glyburide
Guaifenesin
Guanfacine
Hydralazine
Hydrochlorothiazide
Hydrocodone
Hydrocortisone
Hydromorphone
Hydroxyzine
Ibuprofen
Insulin Aspart
Insulin Detemir
Insulin Glargine
Insulin Lispro
Ipratropium
Irbesartan
Isosorbide
Ketoconazole
Lamotrigine
Latanoprost
Levetiracetam
Levocetirizine
Levofloxacin
Levothyroxine
Lidocaine
Linagliptin
Lisdexamfetamine
Lisinopril
Lithium
Loperamide
Loratadine
Lorazepam
Losartan
Lovastatin
Lurasidone
Meclizine
Meloxicam
Memantine
Metformin
Methocarbamol
Methotrexate
Methylphenidate
Methylprednisolone
Metoclopramide
Metoprolol
Metronidazole
Minocycline
Mirtazapine
Modafinil
Montelukast
Morphine
Mupirocin
Nabumetone
Naproxen
Nebivolol
Nifedipine
Nitrofurantoin
Nitroglycerin
Norethindrone
Nortriptyline
Olanzapine
Olmesartan
Omeprazole
Ondansetron
Oseltamivir
Oxybutynin
Oxycodone
Pantoprazole
Paroxetine
Phenobarbital
Phentermine
Phenytoin
Pioglitazone
Potassium Chloride
Pravastatin
Prednisone
Pregabalin
Propranolol
Quetiapine
Quinapril
Rabeprazole
Raloxifene
Ramipril
Ranitidine
Risedronate
Risperidone
Rivaroxaban
Rosuvastatin
Saxagliptin
Semaglutide
Sertraline
Sildenafil
Simvastatin
Sitagliptin
Solifenacin
Spironolactone
Sumatriptan
Tadalafil
Tamsulosin
Temazepam
Terazosin
Testosterone
Thyroid
Tiotropium
Tizanidine
Topiramate
Torsemide
Tramadol
Trazodone
Triamcinolone
Triamterene
Valacyclovir
Valsartan
Varenicline
Venlafaxine
Verapamil
Warfarin
Zolpidem
